zone_family,mean_severity_train
A (SFHA no BFE),29873.009668505485
A (SFHA w/ BFE),55489.0257741835
D (undetermined),35458.93347614526
Unknown,16846.226689407486
V (velocity),50253.81949552313
X/B/C (moderate-min),49079.31318869237
