mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gbm__min_samples_leaf,param_gbm__max_leaf_nodes,param_gbm__max_iter,param_gbm__learning_rate,param_gbm__l2_regularization,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.9773191928863525,0.21265200464222644,0.012407779693603516,0.0005984653219678752,5,255,500,0.15,0.1,"{'gbm__min_samples_leaf': 5, 'gbm__max_leaf_nodes': 255, 'gbm__max_iter': 500, 'gbm__learning_rate': 0.15, 'gbm__l2_regularization': 0.1}",-61780.525904434224,-40229.34209314154,-43425.70195054427,-30634.604439541,-31192.935088093593,-41452.62189515093,11321.694350568016,24
1.4954861640930175,0.19914737512406094,0.015566253662109375,0.0014094004841953517,5,63,1200,0.15,10.0,"{'gbm__min_samples_leaf': 5, 'gbm__max_leaf_nodes': 63, 'gbm__max_iter': 1200, 'gbm__learning_rate': 0.15, 'gbm__l2_regularization': 10.0}",-60494.33504818877,-40196.18233177345,-41109.06322309343,-29885.535658222612,-30934.669436414257,-40523.95713953851,10994.509807493358,4
1.1487421989440918,0.32771290403147146,0.018891191482543944,0.003432179206826448,50,31,800,0.15,10.0,"{'gbm__min_samples_leaf': 50, 'gbm__max_leaf_nodes': 31, 'gbm__max_iter': 800, 'gbm__learning_rate': 0.15, 'gbm__l2_regularization': 10.0}",-60503.854903929474,-40630.46304616432,-41283.348635612274,-29990.4341806437,-30756.995975370275,-40633.01934834401,11009.754739402302,8
1.691726016998291,0.13073063845485927,0.01692986488342285,0.0018524233294662186,100,127,500,0.15,0.1,"{'gbm__min_samples_leaf': 100, 'gbm__max_leaf_nodes': 127, 'gbm__max_iter': 500, 'gbm__learning_rate': 0.15, 'gbm__l2_regularization': 0.1}",-60772.38473919696,-40659.50785236163,-41164.87696027444,-30794.23917187151,-31380.318486435768,-40954.26544202807,10842.28468399413,22
6.995395994186401,0.6030194611759147,0.01973881721496582,0.0022538353140897204,20,255,1200,0.03,0.0,"{'gbm__min_samples_leaf': 20, 'gbm__max_leaf_nodes': 255, 'gbm__max_iter': 1200, 'gbm__learning_rate': 0.03, 'gbm__l2_regularization': 0.0}",-60955.12548974227,-39861.4337889544,-41399.24875042402,-30503.662427166975,-31170.754833650997,-40778.04505798773,11010.936462396417,16
3.148099184036255,0.6348593479213701,0.013723802566528321,0.001815372602275916,5,255,800,0.1,1.0,"{'gbm__min_samples_leaf': 5, 'gbm__max_leaf_nodes': 255, 'gbm__max_iter': 800, 'gbm__learning_rate': 0.1, 'gbm__l2_regularization': 1.0}",-61240.16664703876,-39917.90131148597,-42149.353269177846,-30068.67912573627,-30885.503376647473,-40852.32074601726,11259.165764821058,20
2.179563570022583,0.22054791693020437,0.019031476974487305,0.002787233646194801,100,127,500,0.1,10.0,"{'gbm__min_samples_leaf': 100, 'gbm__max_leaf_nodes': 127, 'gbm__max_iter': 500, 'gbm__learning_rate': 0.1, 'gbm__l2_regularization': 10.0}",-60344.20261319674,-40554.799703568264,-40685.394968896006,-30640.809203023764,-31153.480814991184,-40675.737460735196,10753.9425089313,11
2.2860105991363526,0.26704168517267546,0.029381799697875976,0.0031940273332259875,100,31,800,0.05,1.0,"{'gbm__min_samples_leaf': 100, 'gbm__max_leaf_nodes': 31, 'gbm__max_iter': 800, 'gbm__learning_rate': 0.05, 'gbm__l2_regularization': 1.0}",-60307.432824670665,-40595.19913751781,-41272.61059426451,-30799.005260605492,-31546.31558560975,-40904.112680533646,10643.322914798828,21
0.893724012374878,0.12319487698190389,0.013198137283325195,0.000731819760290732,20,63,1200,0.2,0.1,"{'gbm__min_samples_leaf': 20, 'gbm__max_leaf_nodes': 63, 'gbm__max_iter': 1200, 'gbm__learning_rate': 0.2, 'gbm__l2_regularization': 0.1}",-59987.74735224119,-40283.903007521316,-42396.93967521464,-30281.236902912635,-31067.595498727012,-40803.48448732337,10736.38891477153,17
1.054626226425171,0.13511577915860878,0.013995599746704102,0.0006143162970577604,20,63,800,0.2,1.0,"{'gbm__min_samples_leaf': 20, 'gbm__max_leaf_nodes': 63, 'gbm__max_iter': 800, 'gbm__learning_rate': 0.2, 'gbm__l2_regularization': 1.0}",-60186.36288466479,-40501.169702656705,-41056.366094278885,-30202.242851239662,-30747.749494647567,-40538.778205497525,10853.617845618652,5
10.134686851501465,1.0641778884525364,0.022951555252075196,0.002724056065373433,20,255,500,0.03,10.0,"{'gbm__min_samples_leaf': 20, 'gbm__max_leaf_nodes': 255, 'gbm__max_iter': 500, 'gbm__learning_rate': 0.03, 'gbm__l2_regularization': 10.0}",-60496.40001346873,-39877.008009821024,-41378.0750341541,-30451.01758504127,-31071.37625044963,-40654.77537858695,10869.925156888023,9
0.9647839069366455,0.15422929750850084,0.013161420822143555,0.0008479970052151522,10,63,500,0.15,1.0,"{'gbm__min_samples_leaf': 10, 'gbm__max_leaf_nodes': 63, 'gbm__max_iter': 500, 'gbm__learning_rate': 0.15, 'gbm__l2_regularization': 1.0}",-59666.31140982137,-39679.88658340225,-41533.4621049449,-30181.086982728917,-30825.345400180315,-40377.218496215544,10668.567420156753,1
3.3761416912078857,0.26741424687416904,0.017875528335571288,0.0014014538680410297,20,127,500,0.05,0.1,"{'gbm__min_samples_leaf': 20, 'gbm__max_leaf_nodes': 127, 'gbm__max_iter': 500, 'gbm__learning_rate': 0.05, 'gbm__l2_regularization': 0.1}",-60565.6656667609,-39694.76749869749,-41053.5479151808,-30200.702075801473,-30543.36344841452,-40411.60932097103,11034.100216300865,2
3.326989936828613,0.5858771376126755,0.013418483734130859,0.000891043314489553,5,255,800,0.05,0.0,"{'gbm__min_samples_leaf': 5, 'gbm__max_leaf_nodes': 255, 'gbm__max_iter': 800, 'gbm__learning_rate': 0.05, 'gbm__l2_regularization': 0.0}",-61063.08207366174,-39751.046028068544,-42725.226327859586,-30466.024717795113,-31044.01021270677,-41009.877872018355,11109.900397661922,23
2.178353500366211,0.269770320024477,0.01720085144042969,0.0012836020867556456,100,255,1200,0.1,0.1,"{'gbm__min_samples_leaf': 100, 'gbm__max_leaf_nodes': 255, 'gbm__max_iter': 1200, 'gbm__learning_rate': 0.1, 'gbm__l2_regularization': 0.1}",-60231.29464729713,-40578.62020613217,-41231.38600210486,-30875.13341180579,-31261.068429998566,-40835.5005394677,10651.743570093437,19
3.9515992164611817,0.6559388155356933,0.02392735481262207,0.0028118946949358434,100,127,1200,0.05,1.0,"{'gbm__min_samples_leaf': 100, 'gbm__max_leaf_nodes': 127, 'gbm__max_iter': 1200, 'gbm__learning_rate': 0.05, 'gbm__l2_regularization': 1.0}",-60318.62903272701,-40559.7197715462,-41040.53735185906,-30726.022946743273,-31378.700640120624,-40804.72194859923,10689.604819047829,18
1.402359962463379,0.1938324233162628,0.013416862487792969,0.0009972644830086139,50,127,300,0.2,10.0,"{'gbm__min_samples_leaf': 50, 'gbm__max_leaf_nodes': 127, 'gbm__max_iter': 300, 'gbm__learning_rate': 0.2, 'gbm__l2_regularization': 10.0}",-60514.41078879116,-40347.83460581872,-41102.086122808956,-30167.482555520113,-30677.83678647421,-40561.93017188263,10992.533206059637,6
1.294294786453247,0.1593688452710058,0.014132976531982422,0.0007967082369727259,100,255,800,0.2,1.0,"{'gbm__min_samples_leaf': 100, 'gbm__max_leaf_nodes': 255, 'gbm__max_iter': 800, 'gbm__learning_rate': 0.2, 'gbm__l2_regularization': 1.0}",-60298.26749791446,-40436.39950274251,-40706.59898444723,-30900.323633693402,-31358.786121648587,-40740.075148089236,10653.126500765318,12
0.8811410903930664,0.15127287212903806,0.01699223518371582,0.0018339896125205777,100,31,500,0.15,1.0,"{'gbm__min_samples_leaf': 100, 'gbm__max_leaf_nodes': 31, 'gbm__max_iter': 500, 'gbm__learning_rate': 0.15, 'gbm__l2_regularization': 1.0}",-59969.80366423994,-40711.93464931254,-40714.47212581944,-31091.671419856022,-31315.687486667044,-40760.713869179,10504.213951733756,13
0.9710305690765381,0.2574773949357304,0.016893625259399414,0.0019615764068386756,50,31,500,0.15,1.0,"{'gbm__min_samples_leaf': 50, 'gbm__max_leaf_nodes': 31, 'gbm__max_iter': 500, 'gbm__learning_rate': 0.15, 'gbm__l2_regularization': 1.0}",-59930.6946993228,-40618.84710226258,-41419.640440957606,-30515.490399052833,-30854.378437795633,-40667.810215878286,10686.434443934557,10
1.1191257953643798,0.19887446180898966,0.01486344337463379,0.001307236345087631,50,63,500,0.2,1.0,"{'gbm__min_samples_leaf': 50, 'gbm__max_leaf_nodes': 63, 'gbm__max_iter': 500, 'gbm__learning_rate': 0.2, 'gbm__l2_regularization': 1.0}",-60308.46157642144,-40148.31368729235,-40980.998259227104,-30281.129127530254,-31196.36717552176,-40583.05396519859,10804.430650874052,7
1.9485724925994874,0.18490823129374195,0.013731718063354492,0.0006994546282333928,5,127,1200,0.2,10.0,"{'gbm__min_samples_leaf': 5, 'gbm__max_leaf_nodes': 127, 'gbm__max_iter': 1200, 'gbm__learning_rate': 0.2, 'gbm__l2_regularization': 10.0}",-60681.09952544374,-39977.77466522231,-40873.283330682614,-30118.811693036576,-30578.172278152302,-40445.828298507506,11080.486459912861,3
0.6248700618743896,0.14830474549188077,0.011598634719848632,0.0005085849635888822,5,63,500,0.15,0.0,"{'gbm__min_samples_leaf': 5, 'gbm__max_leaf_nodes': 63, 'gbm__max_iter': 500, 'gbm__learning_rate': 0.15, 'gbm__l2_regularization': 0.0}",-60735.09078210964,-40613.84353152921,-43260.19916246746,-32402.775779091535,-31255.036437924016,-41653.38913862438,10596.918585595266,25
0.9685566425323486,0.1543729996785891,0.017243432998657226,0.0014242138794879765,100,31,800,0.15,1.0,"{'gbm__min_samples_leaf': 100, 'gbm__max_leaf_nodes': 31, 'gbm__max_iter': 800, 'gbm__learning_rate': 0.15, 'gbm__l2_regularization': 1.0}",-59969.80366423994,-40711.93464931254,-40714.47212581944,-31091.671419856022,-31315.687486667044,-40760.713869179,10504.213951733756,13
2.8326628684997557,0.4968938054756581,0.02458672523498535,0.0029475123763287613,100,63,500,0.05,0.1,"{'gbm__min_samples_leaf': 100, 'gbm__max_leaf_nodes': 63, 'gbm__max_iter': 500, 'gbm__learning_rate': 0.05, 'gbm__l2_regularization': 0.1}",-59899.7571519653,-40644.76664504957,-40796.936972477335,-31029.11886946536,-31468.074847769163,-40767.73089734535,10463.026031503716,15
