mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_glm__alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.08724217414855957,0.005706927151478915,0.009769201278686523,0.0004314494438062498,0.01,{'glm__alpha': 0.01},-60499.29726617364,-43128.38106056107,-46615.65546861568,-32424.130117885656,-36518.12825054313,-43837.11843275584,9692.003918301685,2
0.07193694114685059,0.0035103672714930415,0.009595394134521484,0.00038098065496287555,0.03,{'glm__alpha': 0.03},-60511.15843671944,-42945.21020621405,-46588.4604543874,-32349.94387191661,-36410.775493274414,-43761.10969250239,9731.041624218344,1
0.05956625938415527,0.001508138925156596,0.009630823135375976,0.0003358735676425942,0.1,{'glm__alpha': 0.1},-60570.31802599148,-43030.80085246324,-46827.49107878947,-32613.488705631626,-36680.11946712527,-43944.44362600022,9661.545944512143,3
0.05493044853210449,0.001802898184621376,0.00957489013671875,9.273593977681665e-05,0.3,{'glm__alpha': 0.3},-60707.808295432216,-43645.363828012516,-47202.33087425957,-33460.01237414121,-37383.7717649971,-44479.85742736852,9415.370915025427,4
0.05398712158203125,0.0023751802913053468,0.009701871871948242,0.0005462262703557875,1.0,{'glm__alpha': 1},-60986.296810184496,-44318.33030048332,-47726.362671809744,-35362.443577693,-38423.81148964209,-45363.44896996253,8932.275029899964,5
0.05431842803955078,0.0024033634081866515,0.009580230712890625,0.00022571743551340237,3.0,{'glm__alpha': 3},-61523.32119189224,-44758.68432648848,-48531.69760319452,-38902.64936220899,-39751.440387048264,-46693.5585741665,8196.775268547279,6
0.04937877655029297,0.0008491497128671912,0.009416294097900391,0.0005435185505055216,10.0,{'glm__alpha': 10},-62333.85695085113,-45440.03700353261,-49561.39170616506,-43336.80957661344,-41484.74491093726,-48431.3680296199,7452.708388314381,7
0.04864678382873535,0.00108763872211335,0.009085893630981445,0.00040762540979749336,30.0,{'glm__alpha': 30},-62794.14341364693,-45875.9863651571,-50134.04045014845,-45588.57895538095,-42422.4041773868,-49363.030672344044,7149.370677948259,8
0.048230218887329104,0.0012807562680066877,0.008848762512207032,0.0003612139388919552,100.0,{'glm__alpha': 100},-63003.610581140514,-46080.00815282981,-50392.13803345806,-46549.22454549865,-42831.96062983786,-49771.38838855298,7037.631984840585,9
