mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_glm__alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
9.336919689178467,0.693215091324585,0.43921074867248533,0.07280111811903178,0.01,{'glm__alpha': 0.01},-2.2551667026090034,-1.8272334544886806,-1.7542409037064248,-1.7785068041817658,-1.67720777949798,-1.858471128896771,0.20418511474195583,4
7.38869833946228,0.13971525482266872,0.4189017295837402,0.016029480228576965,0.03,{'glm__alpha': 0.03},-2.2577987445510326,-1.741051696054794,-1.760532250006738,-1.7868915887632153,-1.666774075401379,-1.8426096709554318,0.21140262698259354,3
5.765699291229248,0.1299137092110154,0.3931411266326904,0.0035456811353130275,0.1,{'glm__alpha': 0.1},-2.250565628236267,-1.6426996421912767,-1.7818821683130974,-1.8177349659761768,-1.664893095366603,-1.831555100016684,0.2198503248813649,1
4.906596994400024,0.10193342528937564,0.40646796226501464,0.019719832720386937,0.3,{'glm__alpha': 0.3},-2.2275150418183904,-1.601457552525485,-1.8091485208954092,-1.8621136469564583,-1.6869647605556863,-1.8374399045502858,0.2153593499690769,2
4.411897659301758,0.04072229102960045,0.396710205078125,0.007675118510752883,1.0,{'glm__alpha': 1},-2.199604564997178,-1.6078961060894772,-1.8444711610400528,-1.9155865857959902,-1.748562373174043,-1.863224158219348,0.19727392931817106,5
4.336679601669312,0.05003912242120586,0.39499640464782715,0.004626815426481445,3.0,{'glm__alpha': 3},-2.2051304423352605,-1.6601339062853406,-1.9082709580082176,-1.998934011221089,-1.8561640819223053,-1.9257266799544428,0.1783866331778435,6
4.141929960250854,0.07017390954327067,0.4002796173095703,0.006849763863268172,10.0,{'glm__alpha': 10},-2.228141076424993,-1.73197073549901,-1.9863763931979364,-2.1058261745065914,-1.9765071591460273,-2.0057643077549114,0.16471708873472501,7
4.169936990737915,0.03768322758138388,0.395596981048584,0.0030335351549683775,30.0,{'glm__alpha': 30},-2.2397891586683927,-1.767514058950975,-2.024006039422817,-2.1580470304453643,-2.0327508395360576,-2.044421425404721,0.16019363874829398,8
4.296437454223633,0.025529990345259372,0.39516897201538087,0.003850911625934654,100.0,{'glm__alpha': 100},-2.244491103209732,-1.782406150318406,-2.0396656409001013,-2.1797758877294218,-2.055887787928336,-2.0604453140171994,0.1586637833604246,9
