mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_glm__alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
9.136084461212159,0.7507814148717429,0.40620880126953124,0.011998189528820388,0.01,{'glm__alpha': 0.01},-61664.55018267454,-43345.51742820963,-45557.0410626173,-31971.286718514675,-38709.31649034026,-44249.54237647128,9871.767579141773,2
7.218763446807861,0.17440085638343297,0.40171360969543457,0.0085508528656653,0.03,{'glm__alpha': 0.03},-61685.566959567135,-43154.038834698775,-45378.281837016075,-32230.346853874715,-38632.329076271315,-44216.1127122856,9823.417863455274,1
5.9239482402801515,0.15723942370376429,0.4031043529510498,0.017340290700091042,0.1,{'glm__alpha': 0.1},-61776.94628359533,-43631.202540448496,-45377.20008921631,-33134.32867528746,-38878.44470401338,-44559.6244585122,9599.789113677929,3
4.828413343429565,0.04068849513153898,0.38838210105896,0.0027108220986961024,0.3,{'glm__alpha': 0.3},-61925.09870960084,-43397.33799457788,-45590.34789990711,-34433.807914663055,-39690.3988054031,-45007.39826483039,9265.117471835636,4
4.371754169464111,0.06003041914113919,0.3868842124938965,0.0020383138478294797,1.0,{'glm__alpha': 1},-62133.44498236388,-43539.93425823172,-46016.72148173543,-35977.70495198627,-41151.773186996616,-45763.91577226278,8831.911146604336,5
4.265823554992676,0.03763158938857953,0.38765778541564944,0.002260237095039611,3.0,{'glm__alpha': 3},-62451.21637027624,-44480.07857888214,-46925.51195225731,-38024.48629503438,-43158.39407762114,-47007.937454814244,8251.219389567763,6
4.098284387588501,0.06645203765367845,0.38721814155578616,0.0021189169431172833,10.0,{'glm__alpha': 10},-62941.57287500739,-45789.29112082917,-48319.8499685489,-40940.97430049191,-45613.56873772682,-48721.05140052084,7498.872716814005,7
4.094003534317016,0.03829689679794519,0.38654556274414065,0.002541233645222542,30.0,{'glm__alpha': 30},-63236.899549945054,-46540.49279117658,-49112.43974928811,-42578.62926057603,-46912.66082604069,-49676.2244354053,7100.080517399497,8
4.253059530258179,0.01857559586098177,0.3872426986694336,0.0026241797726595795,100.0,{'glm__alpha': 100},-63372.437264184984,-46880.561047636285,-49468.22435227532,-43303.31417608715,-47477.95178524331,-50100.49772508541,6928.081875376708,9
