mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gbm__min_samples_leaf,param_gbm__max_leaf_nodes,param_gbm__max_iter,param_gbm__learning_rate,param_gbm__l2_regularization,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
28.59002513885498,3.894514714074403,0.7916572570800782,0.05171954114424081,5,255,500,0.15,0.1,"{'gbm__min_samples_leaf': 5, 'gbm__max_leaf_nodes': 255, 'gbm__max_iter': 500, 'gbm__learning_rate': 0.15, 'gbm__l2_regularization': 0.1}",-64520.60596990774,-39840.736178427585,-37711.53342936051,-24917.609394307205,-35583.62155305274,-40514.82130501115,13055.115943032868,22
89.16924633979798,14.406900024361386,3.6806670665740966,0.7027234884687386,5,63,1200,0.15,10.0,"{'gbm__min_samples_leaf': 5, 'gbm__max_leaf_nodes': 63, 'gbm__max_iter': 1200, 'gbm__learning_rate': 0.15, 'gbm__l2_regularization': 10.0}",-64640.1935317498,-40080.83993151752,-37418.27777436408,-24721.12736334741,-35674.67595280985,-40507.02291075773,13150.497922337703,21
81.82903189659119,0.7762072009094376,4.012991714477539,0.0724353440115679,50,31,800,0.15,10.0,"{'gbm__min_samples_leaf': 50, 'gbm__max_leaf_nodes': 31, 'gbm__max_iter': 800, 'gbm__learning_rate': 0.15, 'gbm__l2_regularization': 10.0}",-64058.97842504775,-40063.191967919876,-37374.91841286929,-24903.37753368784,-35664.123899968065,-40412.918047898565,12896.393405092782,17
84.38898210525512,5.734128008069286,2.8630861759185793,0.10085225169335503,100,127,500,0.15,0.1,"{'gbm__min_samples_leaf': 100, 'gbm__max_leaf_nodes': 127, 'gbm__max_iter': 500, 'gbm__learning_rate': 0.15, 'gbm__l2_regularization': 0.1}",-65030.11130983372,-40082.66937302598,-37029.71495222982,-24342.86310844545,-35379.11842920799,-40372.8954345486,13424.89572979647,13
234.3112368106842,34.58610877098575,5.096498775482178,0.3828115583969845,20,255,1200,0.03,0.0,"{'gbm__min_samples_leaf': 20, 'gbm__max_leaf_nodes': 255, 'gbm__max_iter': 1200, 'gbm__learning_rate': 0.03, 'gbm__l2_regularization': 0.0}",-64407.563119695835,-39600.71409762291,-37030.04651017693,-24158.491420514707,-35056.368946716466,-40050.63681894537,13267.17190687764,3
58.384477615356445,8.184213567528618,1.6820640563964844,0.1703470166824813,5,255,800,0.1,1.0,"{'gbm__min_samples_leaf': 5, 'gbm__max_leaf_nodes': 255, 'gbm__max_iter': 800, 'gbm__learning_rate': 0.1, 'gbm__l2_regularization': 1.0}",-64907.63000058679,-39673.780026812776,-37102.33886288581,-24177.75844598974,-35113.28357012345,-40194.95818127972,13438.200575819772,5
86.23656344413757,4.437664197841854,2.982984733581543,0.04287418383243858,100,127,500,0.1,10.0,"{'gbm__min_samples_leaf': 100, 'gbm__max_leaf_nodes': 127, 'gbm__max_iter': 500, 'gbm__learning_rate': 0.1, 'gbm__l2_regularization': 10.0}",-64490.23173716309,-40004.73354452188,-37063.42678430194,-24564.464603549153,-35440.080574790576,-40312.58744886533,13167.801629513546,10
88.6038568019867,4.099147766766295,4.7679722785949705,0.10465220637122159,100,31,800,0.05,1.0,"{'gbm__min_samples_leaf': 100, 'gbm__max_leaf_nodes': 31, 'gbm__max_iter': 800, 'gbm__learning_rate': 0.05, 'gbm__l2_regularization': 1.0}",-62679.34313013559,-39824.918857131976,-37690.20763185979,-25270.727241678618,-35589.65787248828,-40210.970946658854,12295.515027635056,6
27.444901180267333,20.824128534102204,1.290474271774292,0.9144937273116723,20,63,1200,0.2,0.1,"{'gbm__min_samples_leaf': 20, 'gbm__max_leaf_nodes': 63, 'gbm__max_iter': 1200, 'gbm__learning_rate': 0.2, 'gbm__l2_regularization': 0.1}",-64666.277338563945,-40054.497486852466,-37299.38692946573,-26252.226494923754,-35852.80698501482,-40825.03904696414,12794.675125075335,25
51.40748701095581,8.045468779006146,2.273569202423096,0.29743011835989674,20,63,800,0.2,1.0,"{'gbm__min_samples_leaf': 20, 'gbm__max_leaf_nodes': 63, 'gbm__max_iter': 800, 'gbm__learning_rate': 0.2, 'gbm__l2_regularization': 1.0}",-64150.529855015804,-40204.267246756935,-37313.287050820836,-24616.33073225585,-35601.77409245438,-40377.23779546076,13006.139883600477,14
148.10211997032167,6.821759774235171,3.3236080169677735,0.030007390365439007,20,255,500,0.03,10.0,"{'gbm__min_samples_leaf': 20, 'gbm__max_leaf_nodes': 255, 'gbm__max_iter': 500, 'gbm__learning_rate': 0.03, 'gbm__l2_regularization': 10.0}",-63926.87172662738,-39522.43811972871,-37263.812946858096,-24438.89253600553,-35109.906256665,-40052.38431717695,13009.668230227153,4
47.98209719657898,10.432362541915836,2.2288403511047363,0.4143597853510025,10,63,500,0.15,1.0,"{'gbm__min_samples_leaf': 10, 'gbm__max_leaf_nodes': 63, 'gbm__max_iter': 500, 'gbm__learning_rate': 0.15, 'gbm__l2_regularization': 1.0}",-64899.10354738259,-39983.5454235606,-37280.73856290705,-24793.880281289603,-35437.675048373945,-40478.98857270276,13253.3297444809,20
91.74391417503357,5.636771972856494,3.024907684326172,0.06606726533153387,20,127,500,0.05,0.1,"{'gbm__min_samples_leaf': 20, 'gbm__max_leaf_nodes': 127, 'gbm__max_iter': 500, 'gbm__learning_rate': 0.05, 'gbm__l2_regularization': 0.1}",-63131.6710584863,-39638.59898563706,-37140.83513665596,-24590.59246894688,-35268.77386973232,-39954.0943038917,12674.410793848407,1
75.9423577785492,11.341873164231812,1.8227173328399657,0.218061387525795,5,255,800,0.05,0.0,"{'gbm__min_samples_leaf': 5, 'gbm__max_leaf_nodes': 255, 'gbm__max_iter': 800, 'gbm__learning_rate': 0.05, 'gbm__l2_regularization': 0.0}",-63905.952077579124,-39696.52614569147,-37078.632213167686,-24366.824807052057,-35186.16677332534,-40046.820403363134,13020.593128260207,2
95.08893642425537,10.669527228307283,2.6982228755950928,0.2363143379343526,100,255,1200,0.1,0.1,"{'gbm__min_samples_leaf': 100, 'gbm__max_leaf_nodes': 255, 'gbm__max_iter': 1200, 'gbm__learning_rate': 0.1, 'gbm__l2_regularization': 0.1}",-65282.55284295272,-40043.7501229544,-37404.58867855162,-24202.59304901798,-35368.794317511594,-40460.45580219766,13534.338454294824,18
175.53427686691285,8.35222182447662,6.221625566482544,0.40808448312055384,100,127,1200,0.05,1.0,"{'gbm__min_samples_leaf': 100, 'gbm__max_leaf_nodes': 127, 'gbm__max_iter': 1200, 'gbm__learning_rate': 0.05, 'gbm__l2_regularization': 1.0}",-64425.356528423355,-40005.4110952784,-37195.82486466926,-24389.58517682395,-35421.46373818515,-40287.52828067602,13181.01780365688,9
47.917502880096436,1.6543414981083344,1.8521562576293946,0.029851972856642865,50,127,300,0.2,10.0,"{'gbm__min_samples_leaf': 50, 'gbm__max_leaf_nodes': 127, 'gbm__max_iter': 300, 'gbm__learning_rate': 0.2, 'gbm__l2_regularization': 10.0}",-64365.101455993376,-40108.865245364286,-37382.095535230445,-24451.142653216986,-35385.733692566624,-40338.58771647434,13137.797795117305,12
44.52010316848755,5.58390094231371,1.3975770473480225,0.1659730640719612,100,255,800,0.2,1.0,"{'gbm__min_samples_leaf': 100, 'gbm__max_leaf_nodes': 255, 'gbm__max_iter': 800, 'gbm__learning_rate': 0.2, 'gbm__l2_regularization': 1.0}",-65285.309278586225,-39703.87699195365,-37123.21865531812,-24526.36023349881,-35292.180787260484,-40386.18918932346,13480.072729538944,15
52.08683228492737,2.3171904684713467,2.915898847579956,0.14356187093958048,100,31,500,0.15,1.0,"{'gbm__min_samples_leaf': 100, 'gbm__max_leaf_nodes': 31, 'gbm__max_iter': 500, 'gbm__learning_rate': 0.15, 'gbm__l2_regularization': 1.0}",-63182.55694121501,-40080.6065600559,-37674.40489553478,-25044.02998274093,-35690.647083795935,-40334.4490926685,12526.277316710879,11
73.36916656494141,38.509236125280275,2.847582387924194,0.0929423451460211,50,31,500,0.15,1.0,"{'gbm__min_samples_leaf': 50, 'gbm__max_leaf_nodes': 31, 'gbm__max_iter': 500, 'gbm__learning_rate': 0.15, 'gbm__l2_regularization': 1.0}",-63665.437344825055,-40068.19308521582,-37484.22985943857,-25025.72596631681,-35718.8871873676,-40392.494688632774,12713.561450405243,16
59.18251757621765,3.8888748590727604,2.6491519927978517,0.1173436970885244,50,63,500,0.2,1.0,"{'gbm__min_samples_leaf': 50, 'gbm__max_leaf_nodes': 63, 'gbm__max_iter': 500, 'gbm__learning_rate': 0.2, 'gbm__l2_regularization': 1.0}",-65251.64211035143,-39907.32078686621,-37182.56538081669,-24785.9339844949,-35729.025588935394,-40571.297570292925,13369.136689511377,23
55.984288167953494,3.9026795450015275,1.9159502029418944,0.15415189771749752,5,127,1200,0.2,10.0,"{'gbm__min_samples_leaf': 5, 'gbm__max_leaf_nodes': 127, 'gbm__max_iter': 1200, 'gbm__learning_rate': 0.2, 'gbm__l2_regularization': 10.0}",-64243.79331617187,-40070.62866951988,-37034.099019491325,-24626.875726454928,-35322.56682212998,-40259.5927107536,13072.394276323814,8
11.011132192611694,3.228244733812275,0.5513447284698486,0.09526776964689002,5,63,500,0.15,0.0,"{'gbm__min_samples_leaf': 5, 'gbm__max_leaf_nodes': 63, 'gbm__max_iter': 500, 'gbm__learning_rate': 0.15, 'gbm__l2_regularization': 0.0}",-61119.43687673995,-40194.9832465162,-38559.22395780434,-27237.724043450497,-36550.68130372263,-40732.409885646724,11137.64637540118,24
79.7141453742981,4.5292825292952426,3.9795212268829347,0.05742633365386218,100,31,800,0.15,1.0,"{'gbm__min_samples_leaf': 100, 'gbm__max_leaf_nodes': 31, 'gbm__max_iter': 800, 'gbm__learning_rate': 0.15, 'gbm__l2_regularization': 1.0}",-64101.7841482682,-40196.693226552496,-37497.386432581116,-24837.15270820211,-35698.29665637605,-40466.262634395986,12919.189970370988,19
72.9315037727356,1.558786337749637,3.078882026672363,0.05946221401801806,100,63,500,0.05,0.1,"{'gbm__min_samples_leaf': 100, 'gbm__max_leaf_nodes': 63, 'gbm__max_iter': 500, 'gbm__learning_rate': 0.05, 'gbm__l2_regularization': 0.1}",-63346.73923222857,-39838.59412709083,-37498.24423905642,-25129.13189279079,-35481.207165453656,-40258.783331324055,12590.333032939267,7
